dr_no,date_occ,date_rptd,time_occ,lat,lon
200308479,2019-12-08T00:00:00.000,2019-12-08T00:00:00.000,0545,34.0282,-118.276
200207714,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,1800,34.0419,-118.2799
200316457,2020-08-28T00:00:00.000,2020-08-28T00:00:00.000,2130,34.0273,-118.3028
200313528,2020-07-02T00:00:00.000,2020-07-02T00:00:00.000,0530,34.0084,-118.3002
201308336,2020-03-17T00:00:00.000,2020-03-18T00:00:00.000,1915,34.0039,-118.2726
200313578,2020-07-02T00:00:00.000,2020-07-02T00:00:00.000,1500,34.0309,-118.3024
200308274,2020-03-09T00:00:00.000,2020-03-09T00:00:00.000,0825,34.0074,-118.2872
200313637,2020-07-04T00:00:00.000,2020-07-04T00:00:00.000,0800,34.0347,-118.2809
200308476,2019-12-08T00:00:00.000,2020-03-13T00:00:00.000,0540,34.0282,-118.276
202007227,2020-03-08T00:00:00.000,2020-03-09T00:00:00.000,2308,34.04,-118.2864
201308415,2020-03-03T00:00:00.000,2020-03-19T00:00:00.000,0820,34.0316,-118.2657
200308815,2020-03-18T00:00:00.000,2020-03-18T00:00:00.000,1740,34.0037,-118.3045
200109236,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,1230,34.0345,-118.266
200109118,2020-03-13T00:00:00.000,2020-03-13T00:00:00.000,2025,34.032,-118.2657
201308243,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,1300,34.0155,-118.2772
200308646,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,1338,34.0274,-118.2891
200108960,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,1645,34.032,-118.2657
200308697,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,0910,34.0328,-118.2915
200109410,2020-03-19T00:00:00.000,2020-03-19T00:00:00.000,1000,34.0351,-118.2672
200308489,2020-03-13T00:00:00.000,2020-03-13T00:00:00.000,1345,34.0232,-118.2829
201308195,2020-03-15T00:00:00.000,2020-03-15T00:00:00.000,1845,34.0091,-118.2784
200308754,2020-03-18T00:00:00.000,2020-03-18T00:00:00.000,0235,34.0282,-118.276
201310591,2020-05-07T00:00:00.000,2020-05-09T00:00:00.000,2200,34.0039,-118.2726
201311054,2020-05-08T00:00:00.000,2020-05-19T00:00:00.000,1645,34.0101,-118.274
201311061,2020-05-19T00:00:00.000,2020-05-19T00:00:00.000,1400,34.0203,-118.2762
201311062,2020-05-19T00:00:00.000,2020-05-19T00:00:00.000,1325,34.0308,-118.2743
201311138,2020-05-20T00:00:00.000,2020-05-21T00:00:00.000,1910,34.0038,-118.2805
201311215,2020-05-21T00:00:00.000,2020-05-22T00:00:00.000,2000,34.0111,-118.2653
202010010,2020-05-16T00:00:00.000,2020-05-16T00:00:00.000,1920,34.04,-118.3008
210107112,2021-03-03T00:00:00.000,2021-03-08T00:00:00.000,1405,34.0352,-118.2654
200311977,2020-05-28T00:00:00.000,2020-05-28T00:00:00.000,2035,34.0291,-118.3002
202009997,2020-05-17T00:00:00.000,2020-05-21T00:00:00.000,1730,34.04,-118.2883
201311422,2020-05-18T00:00:00.000,2020-05-26T00:00:00.000,0700,34.0186,-118.2657
202010064,2020-05-23T00:00:00.000,2020-05-23T00:00:00.000,2100,34.0401,-118.2864
201213360,2020-05-23T00:00:00.000,2020-05-23T00:00:00.000,0120,34.0028,-118.3045
201311311,2020-05-24T00:00:00.000,2020-05-24T00:00:00.000,0950,34.0038,-118.274
200311774,2020-05-23T00:00:00.000,2020-05-23T00:00:00.000,1830,34.0038,-118.2816
200210571,2020-05-24T00:00:00.000,2020-05-24T00:00:00.000,1830,34.0416,-118.2779
202010111,2020-05-25T00:00:00.000,2020-05-25T00:00:00.000,0630,34.04,-118.2916
200311978,2020-05-27T00:00:00.000,2020-05-28T00:00:00.000,2145,34.0255,-118.3002
200311836,2020-05-23T00:00:00.000,2020-05-25T00:00:00.000,1100,34.0146,-118.2872
182020720,2018-11-18T00:00:00.000,2018-11-18T00:00:00.000,1735,34.0421,-118.2879
200308403,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,2300,34.0132,-118.2959
200308483,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,0140,34.0305,-118.2865
200308497,2020-02-23T00:00:00.000,2020-02-23T00:00:00.000,1605,34.0346,-118.2915
200308530,2020-03-13T00:00:00.000,2020-03-14T00:00:00.000,2055,34.0282,-118.276
200308756,2020-03-18T00:00:00.000,2020-03-18T00:00:00.000,0955,34.0328,-118.2915
201311495,2020-05-27T00:00:00.000,2020-05-27T00:00:00.000,1335,34.0186,-118.2657
201311348,2020-05-25T00:00:00.000,2020-05-25T00:00:00.000,0040,34.0038,-118.2783
200308888,2020-03-21T00:00:00.000,2020-03-22T00:00:00.000,0945,34.0255,-118.2839
202006753,2020-02-27T00:00:00.000,2020-02-27T00:00:00.000,0710,34.0382,-118.284
202007816,2020-03-21T00:00:00.000,2020-03-21T00:00:00.000,1750,34.0382,-118.3003
200308871,2020-03-21T00:00:00.000,2020-03-21T00:00:00.000,0500,34.0182,-118.2931
190325300,2019-11-25T00:00:00.000,2019-11-25T00:00:00.000,1030,34.0274,-118.2765
200308908,2020-03-21T00:00:00.000,2020-03-21T00:00:00.000,1330,34.0112,-118.2827
200308739,2020-03-18T00:00:00.000,2020-03-18T00:00:00.000,1945,34.0182,-118.2901
200308824,2020-03-19T00:00:00.000,2020-03-19T00:00:00.000,1150,34.02,-118.2915
200308769,2020-03-16T00:00:00.000,2020-03-19T00:00:00.000,2140,34.0328,-118.2915
200309064,2020-03-26T00:00:00.000,2020-03-26T00:00:00.000,0700,34.0364,-118.2964
201218954,2020-08-15T00:00:00.000,2020-08-20T00:00:00.000,1100,34.0037,-118.2991
200307148,2020-02-20T00:00:00.000,2020-02-20T00:00:00.000,1235,34.0267,-118.2817
201308685,2020-03-25T00:00:00.000,2020-03-25T00:00:00.000,1600,34.0039,-118.2726
200308772,2020-03-18T00:00:00.000,2020-03-19T00:00:00.000,2045,34.0282,-118.2749
200208030,2020-03-20T00:00:00.000,2020-03-21T00:00:00.000,2000,34.0398,-118.278
200308728,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,1300,34.0082,-118.298
